transaction_id,timestamp,blockchain,transaction_type,sender_wallet_age_days,receiver_wallet_age_days,transaction_amount_usd,gas_fee_usd,token_type,platform,num_prev_transactions_sender,num_prev_transactions_receiver,avg_txn_interval_sender_min,is_cross_chain,failed_txn_ratio_sender,velocity_score,anomaly_score,is_scam,hour,day_of_week,time_gap
TX002494,1701379904.0,Ethereum,Burn,1713.0,245.0,2536.13,8.18,Stablecoin,Coinbase,1134.0,978.0,466.2,0,0.24,0.0,0.0,0,,,
TX015595,1703810305.0,Solana,Transfer,413.0,325.0,1081.34,1.91,Meme,Binance,1226.0,971.0,124.3,1,0.16,0.01,0.03,0,,,
TX001031,1702412149.0,Ethereum,Bridge,635.0,265.0,260.71,6.29,Stablecoin,Coinbase,1189.0,974.0,66.1,0,0.24,0.05,0.0,0,,,
TX018476,1704076999.0,Polygon,Transfer,284.0,281.0,889.53,3.87,Native,OpenSea,1233.0,1026.0,57.4,0,0.21,-0.03,0.08,0,,,
TX008034,1700003196.0,BSC,Bridge,34.0,153.0,287.1,9.57,Meme,Binance,1226.0,996.0,281.6,1,0.03,-0.03,0.11,0,,,
,,BSC,Bridge,115.93410506107479,230.84223352749228,344.0850141206668,1.400291708476857,Meme,OpenSea,1168.6871837493209,1029.3468126455548,266.38601901370333,0,0.11063114222718813,-0.03859854465473523,0.01239971630680783,1,4.0,2.0,-294.92317125147633
TX016074,1703650676.0,Polygon,Burn,349.0,820.0,471.32,5.82,Native,Coinbase,1194.0,991.0,,0,0.07,0.0,0.11,0,,,
,,BSC,Swap,546.7984897705064,51.30952480483318,164.78035162400312,1.9431041806030345,Meme,Binance,1095.4509983467385,985.8020192208651,523.709992708784,0,0.2164525674304633,0.00874675054186393,0.3176999631963896,1,17.0,6.0,2969.5295064690054
TX009196,1703394020.0,Ethereum,Burn,22.0,587.0,335.91,8.02,ERC20,Binance,1224.0,962.0,,0,0.05,0.06,0.14,1,,,
TX009312,1701988022.0,Ethereum,Mint,1225.0,147.0,305.37,,Stablecoin,Kraken,1240.0,1046.0,107.7,0,0.12,0.03,0.05,0,,,
TX012563,1702119990.0,Polygon,Burn,146.0,42.0,178.36,3.83,Meme,Coinbase,1236.0,997.0,134.1,0,0.09,0.06,0.11,0,,,
TX018988,1703402872.0,BSC,Mint,946.0,349.0,752.01,41.16,Stablecoin,Binance,1225.0,1050.0,240.8,0,0.31,0.09,0.0,0,,,
TX002004,1701746621.0,Ethereum,Burn,671.0,1502.0,1086.59,5.21,ERC20,Unknown Wallet,1231.0,1037.0,30.6,0,0.05,0.09,0.0,0,,,
TX016769,1701886006.0,Ethereum,Bridge,1472.0,260.0,428.2,6.55,Native,Kraken,1236.0,964.0,72.5,0,0.08,0.02,0.13,0,,,
,,Ethereum,Bridge,61.17616884993761,1304.0402489286425,561.2350955845906,0.4525168898225381,Native,OpenSea,1166.6182014625838,1005.9799279711588,499.175892439021,1,0.44124714545598126,0.015795070066304012,0.11206151881480218,1,10.0,4.0,6901.43681143188
TX009417,1703410960.0,Solana,Burn,733.0,2094.0,2144.13,28.77,Native,OpenSea,1187.0,989.0,583.7,1,0.02,0.04,0.04,0,,,
TX002979,1701539600.0,Ethereum,Transfer,127.0,567.0,1134.63,9.85,Native,Unknown Wallet,1197.0,980.0,293.8,0,0.07,0.03,0.08,0,,,
TX011198,1700027690.0,Polygon,Swap,536.0,24.0,1406.36,36.83,Native,BridgeX,1201.0,963.0,578.9,0,0.1,-0.01,0.0,0,,,
TX013993,1704984993.0,Polygon,Mint,198.0,684.0,2061.33,2.0,Meme,Unknown DEX,1222.0,997.0,90.0,0,0.13,0.01,0.09,0,,,
TX002607,1704415677.0,Solana,Swap,792.0,202.0,2116.13,18.58,ERC20,Coinbase,1167.0,982.0,337.6,0,0.28,-0.07,0.25,0,,,
TX015117,1701516871.0,Polygon,Mint,183.0,1035.0,26.55,3.93,Stablecoin,Binance,1206.0,956.0,60.1,0,0.17,0.01,0.03,0,,,
TX002306,1701649729.0,Ethereum,Transfer,2010.0,38.0,233.88,3.76,ERC20,Coinbase,1189.0,965.0,164.9,0,0.19,0.08,0.05,0,,,
TX017914,1702035334.0,BSC,Mint,450.0,5.0,239.86,15.97,Native,Unknown Wallet,1244.0,1017.0,48.9,1,0.27,-0.04,0.26,0,,,
TX014998,1701938174.0,Ethereum,Bridge,185.0,531.0,889.9,14.02,ERC20,Coinbase,1263.0,998.0,281.1,0,0.15,0.0,0.15,0,,,
TX004533,1701171248.0,Ethereum,Transfer,146.0,14.0,722.7,3.42,ERC20,Coinbase,1138.0,1003.0,92.1,0,0.16,0.08,0.22,0,,,
TX002518,1700865139.0,Ethereum,Swap,859.0,589.0,585.96,16.1,Stablecoin,Coinbase,1280.0,1067.0,32.6,1,0.13,0.01,0.11,1,,,
TX019559,1701462573.0,Polygon,Mint,219.0,314.0,1065.73,4.06,ERC20,Binance,1224.0,998.0,149.8,0,0.32,0.03,0.51,1,,,
TX017802,1700460287.0,Solana,Transfer,419.0,791.0,3189.72,3.02,Meme,Unknown DEX,1130.0,974.0,272.4,0,0.06,0.03,0.0,0,,,
TX011013,1702098984.0,BSC,Transfer,1004.0,989.0,206.92,3.69,Native,Binance,1146.0,950.0,145.1,0,0.05,-0.02,0.1,0,,,
TX015604,1704888706.0,Ethereum,Transfer,137.0,130.0,1021.5,3.85,Meme,Binance,1262.0,992.0,82.6,1,0.13,-0.01,0.1,0,,,
TX000140,1703057213.0,BSC,Bridge,1387.0,924.0,2038.3,7.25,Stablecoin,Unknown DEX,1234.0,982.0,104.5,0,0.18,-0.05,0.11,0,,,
TX004016,1702004517.0,Ethereum,Burn,478.0,558.0,886.97,9.16,Native,Unknown DEX,1218.0,1022.0,371.4,0,0.27,0.03,0.0,0,,,
TX007242,1702091028.0,Ethereum,Bridge,133.0,901.0,365.61,5.17,Meme,OpenSea,1223.0,976.0,450.5,1,0.1,0.01,0.19,1,,,
TX019403,1700212471.0,Ethereum,Transfer,368.0,3103.0,899.29,,ERC20,Binance,1202.0,998.0,312.0,0,0.2,0.03,0.0,0,,,
TX012271,1702407777.0,Ethereum,Mint,714.0,24.0,1133.56,3.1,Meme,Binance,1183.0,994.0,119.7,1,0.11,-0.09,0.0,0,,,
TX002201,1700629085.0,Polygon,Mint,48.0,416.0,598.03,5.65,Stablecoin,OpenSea,1211.0,1014.0,333.1,0,0.17,-0.12,0.16,0,,,
TX016115,1700317332.0,Ethereum,Mint,907.0,34.0,128.69,4.03,Stablecoin,Binance,1151.0,1013.0,52.0,0,0.14,-0.03,0.05,0,,,
TX006730,1702737968.0,Polygon,Swap,448.0,378.0,2050.19,7.99,Meme,Kraken,1207.0,1009.0,59.2,0,0.17,0.09,0.28,0,,,
TX019220,1702617867.0,BSC,Swap,38.0,261.0,399.92,8.27,Meme,Unknown DEX,1210.0,1018.0,,0,0.1,-0.0,0.0,0,,,
TX006385,1700019156.0,Ethereum,Burn,13.0,422.0,179.08,9.87,Stablecoin,Coinbase,1162.0,1075.0,45.9,1,0.18,-0.04,0.11,0,,,
TX010370,1700576395.0,Ethereum,Burn,484.0,2197.0,735.08,6.33,Meme,OpenSea,1191.0,942.0,312.7,0,0.1,-0.02,0.0,0,,,
TX011749,1703785830.0,Ethereum,Burn,2359.0,531.0,2463.73,8.83,Native,Coinbase,1179.0,986.0,476.5,0,0.07,0.07,0.02,0,,,
TX008031,1703363712.0,Ethereum,Swap,1598.0,1.0,362.37,,ERC20,Kraken,1164.0,951.0,51.6,0,0.09,-0.05,0.22,0,,,
TX006739,1704768026.0,BSC,Swap,244.0,194.0,511.02,9.51,Meme,,1200.0,1009.0,65.0,1,0.08,-0.03,0.12,0,,,
TX008026,1704486856.0,Ethereum,Transfer,459.0,36.0,1268.01,3.19,Stablecoin,Unknown Wallet,1221.0,963.0,255.4,1,0.21,0.02,0.0,1,,,
,,BSC,Bridge,744.7692442422143,339.0039806809172,-197.99679008801792,6.14084977963106,Native,Coinbase,1205.2577568611155,893.4591657908252,217.8312374859273,0,0.14553804566036221,0.10101469739764683,0.02643519974447298,1,8.0,5.0,2457.484851337896
,,Solana,Bridge,-23.85804040386751,491.19720255223956,352.5157170392079,3.997840265204117,Stablecoin,Binance,1163.2441269779158,934.9649557162844,827.357867254671,1,0.19484109758485296,-0.04619692187367735,0.08212848768205816,1,19.0,2.0,1280.0652427863179
TX012127,1703206814.0,Ethereum,Burn,484.0,21.0,109.71,7.63,Stablecoin,OpenSea,1204.0,963.0,404.9,0,0.29,-0.04,0.21,0,,,
TX016796,1701812146.0,Ethereum,Burn,79.0,427.0,24.24,4.78,Native,Unknown DEX,1180.0,1057.0,105.3,0,0.04,0.02,0.0,0,,,
TX012126,1703250615.0,Polygon,Mint,2629.0,880.0,719.46,5.83,Stablecoin,BridgeX,1199.0,1001.0,40.0,0,0.17,-0.06,0.0,0,,,
TX005011,1701694000.0,Ethereum,Burn,397.0,346.0,33.28,7.0,Stablecoin,Binance,1218.0,1083.0,158.4,1,0.21,-0.01,0.13,0,,,
TX003230,1702211549.0,Polygon,Mint,308.0,305.0,1535.48,14.04,Native,Coinbase,1193.0,986.0,50.4,0,0.28,0.15,0.15,0,,,
TX012763,1704636971.0,BSC,Transfer,861.0,113.0,144.1,2.51,Native,Binance,1232.0,929.0,,0,0.1,0.09,0.17,0,,,
TX017787,1704303423.0,Polygon,Burn,110.0,10.0,2612.26,2.85,Meme,Unknown DEX,1210.0,974.0,72.1,1,0.18,-0.08,0.0,0,,,
TX019054,1702422549.0,Ethereum,Transfer,136.0,619.0,2731.47,0.79,Native,Coinbase,1164.0,968.0,235.0,0,0.16,-0.1,0.18,0,,,
TX016252,1703740079.0,BSC,Burn,1016.0,1638.0,1638.64,2.05,Stablecoin,Binance,1194.0,1020.0,47.0,0,0.04,0.01,0.07,0,,,
TX005464,1704205089.0,BSC,Mint,198.0,889.0,3903.28,4.61,Stablecoin,Binance,1170.0,968.0,64.2,0,0.21,0.01,0.04,0,,,
TX011523,1704064972.0,BSC,Transfer,343.0,66.0,940.65,11.24,Stablecoin,Kraken,1188.0,1029.0,59.2,0,0.17,0.05,0.16,0,,,
TX009910,1702850418.0,BSC,Mint,42.0,18.0,201.11,3.48,ERC20,,1187.0,990.0,35.1,0,0.04,-0.02,0.04,0,,,
TX003622,1702951720.0,Ethereum,Transfer,179.0,269.0,113.85,3.74,Stablecoin,Unknown DEX,1206.0,1019.0,491.5,0,0.15,-0.04,0.01,0,,,
TX014966,1703728922.0,Polygon,Swap,893.0,39.0,203.75,0.48,Native,Kraken,1183.0,1017.0,174.5,0,0.02,0.04,0.06,0,,,
TX016276,1703485256.0,BSC,Bridge,483.0,118.0,221.97,18.08,Meme,Unknown DEX,1236.0,935.0,69.6,0,0.06,0.05,0.07,0,,,
TX019827,1702720346.0,Ethereum,Bridge,397.0,457.0,544.66,5.37,Stablecoin,Coinbase,1212.0,1029.0,1037.9,0,0.08,-0.04,0.0,0,,,
TX003143,1703994528.0,BSC,Swap,147.0,1517.0,692.27,6.92,Native,Unknown DEX,1226.0,1014.0,52.3,0,0.29,0.06,0.01,0,,,
TX003307,1703999453.0,Solana,Bridge,1007.0,315.0,55.98,2.88,Native,Coinbase,1273.0,1030.0,90.2,1,0.04,0.06,0.11,1,,,
TX009505,1701210213.0,Ethereum,Burn,233.0,273.0,123.66,23.05,Stablecoin,BridgeX,1157.0,1029.0,285.9,0,0.26,-0.06,0.23,0,,,
TX003615,1702173513.0,BSC,Bridge,752.0,232.0,69.24,6.05,Meme,Coinbase,1222.0,995.0,89.3,0,0.26,-0.04,0.13,0,,,
TX018432,1703104689.0,Solana,Burn,571.0,275.0,957.4,7.37,Native,Coinbase,1178.0,1001.0,129.3,0,0.18,0.02,0.16,0,,,
TX006567,1701250469.0,Ethereum,Swap,943.0,236.0,327.79,8.37,Native,Unknown DEX,1151.0,1035.0,154.0,0,0.19,0.03,0.2,0,,,
TX001081,1701922135.0,Solana,Bridge,367.0,1343.0,344.39,30.5,ERC20,BridgeX,1200.0,1018.0,208.6,0,0.19,-0.04,0.17,0,,,
TX017911,1702446804.0,Solana,Bridge,568.0,799.0,986.29,12.26,Native,Kraken,1201.0,1030.0,47.0,1,0.05,0.01,0.0,0,,,
TX016349,1702786655.0,Ethereum,Bridge,345.0,120.0,94.77,1.52,Native,Unknown Wallet,1253.0,981.0,,0,0.19,-0.03,0.0,0,,,
TX015935,1700483121.0,Ethereum,Burn,295.0,714.0,109.97,5.81,ERC20,OpenSea,1216.0,1012.0,811.9,0,0.04,0.04,0.0,0,,,
TX016764,1704196742.0,Ethereum,Swap,2239.0,89.0,176.46,27.7,Meme,Coinbase,1237.0,951.0,95.8,1,0.18,0.02,0.09,0,,,
TX019833,1702103866.0,Ethereum,Swap,505.0,554.0,245.25,17.78,Native,Binance,1221.0,986.0,70.6,0,0.35,0.02,0.27,1,,,
TX004261,1701898917.0,Ethereum,Bridge,1075.0,83.0,132.77,7.55,Native,Binance,1202.0,1011.0,194.2,0,0.14,-0.05,0.01,0,,,
,,Ethereum,Burn,-251.36902484737283,1723.4102671597036,711.2887829444167,1.8014348199398993,Native,Coinbase,1180.646072449988,957.8962644279676,579.6872775182974,1,0.15181520971779142,0.0018311647612293605,0.030669735110575407,1,9.0,6.0,2876.7284744378044
TX001298,1700549239.0,Solana,Mint,522.0,29.0,917.87,67.55,Native,Binance,1237.0,977.0,1285.1,0,0.21,0.01,0.22,0,,,
,,Ethereum,Transfer,27.376255871151773,-39.245754988489054,67.21298017821103,0.04200162244554619,ERC20,Kraken,1246.5801061099914,999.5888096052319,500.5045014840343,0,0.2874594752822896,-0.08238680973651863,0.017057439850189732,1,7.0,5.0,-50.39132277616068
,,BSC,Swap,327.88456679295336,54.10092242012032,1711.4473848333578,1.4595975003618784,Stablecoin,Binance,1228.6223400203953,966.6874441975611,294.721526073811,0,0.2918831408797063,-0.11743361813650109,0.4050067871838157,1,11.0,5.0,830.8370873448386
TX007222,1701796641.0,Ethereum,Transfer,226.0,191.0,1261.02,2.8,Native,BridgeX,1236.0,955.0,227.7,0,0.17,0.03,0.12,0,,,
TX012808,1701534851.0,Ethereum,Bridge,780.0,346.0,365.37,3.14,Native,Binance,1212.0,1007.0,262.3,1,0.3,0.06,0.24,0,,,
TX019941,1703801040.0,BSC,Burn,50.0,858.0,198.88,9.7,Native,Kraken,1198.0,1013.0,72.6,0,0.04,0.02,0.1,0,,,
TX018757,1704941709.0,Polygon,Transfer,430.0,137.0,214.05,6.91,ERC20,Kraken,1172.0,974.0,17.6,0,0.16,0.0,0.07,0,,,
TX013682,1702957428.0,Ethereum,Bridge,187.0,146.0,2277.27,13.09,Stablecoin,Coinbase,1215.0,989.0,65.1,0,0.14,0.0,0.21,0,,,
TX013564,1701608990.0,Ethereum,Burn,554.0,240.0,582.79,10.12,ERC20,Coinbase,1192.0,1025.0,926.5,1,0.11,-0.07,0.14,0,,,
TX001383,1701210209.0,Ethereum,Swap,1103.0,638.0,118.46,2.97,Native,Coinbase,1241.0,993.0,154.8,1,0.08,0.11,0.0,0,,,
TX014068,1704987208.0,BSC,Swap,236.0,234.0,782.14,34.09,Stablecoin,Coinbase,1231.0,951.0,44.8,1,0.1,-0.03,0.04,0,,,
TX001852,1703939311.0,Polygon,Swap,35.0,1011.0,964.0,6.74,Stablecoin,Unknown DEX,1199.0,996.0,110.5,0,0.14,-0.01,0.05,0,,,
TX004926,1704125279.0,BSC,Swap,573.0,338.0,249.51,6.51,ERC20,Binance,1190.0,937.0,196.5,0,0.17,-0.02,0.06,0,,,
TX004811,1700475147.0,Ethereum,Mint,1039.0,566.0,833.6,8.05,Stablecoin,Binance,1236.0,1000.0,98.9,0,0.08,-0.01,0.09,0,,,
TX011745,1704763375.0,Ethereum,Bridge,567.0,1349.0,742.34,17.52,Native,Unknown DEX,1211.0,983.0,198.1,0,0.25,-0.05,0.11,0,,,
TX012020,1700706168.0,BSC,Burn,441.0,311.0,1741.4,14.38,Native,OpenSea,1231.0,964.0,659.2,0,0.21,-0.08,0.1,0,,,
TX016036,1703808102.0,BSC,Swap,1365.0,280.0,532.33,12.03,Meme,,1181.0,1002.0,282.1,0,0.16,0.06,0.18,0,,,
TX008640,1700421655.0,Polygon,Bridge,207.0,49.0,195.95,11.84,Native,Coinbase,1262.0,1018.0,470.9,0,0.11,0.01,0.0,0,,,
TX018644,1702882396.0,BSC,Swap,167.0,197.0,261.86,3.7,Meme,Unknown DEX,1197.0,977.0,31.4,1,0.21,-0.08,0.0,0,,,
TX017649,1701072231.0,Ethereum,Burn,443.0,152.0,976.7,12.88,ERC20,Binance,1226.0,1015.0,135.4,1,0.19,0.02,0.13,0,,,
TX011806,1700512193.0,BSC,Swap,1033.0,94.0,214.07,10.94,Stablecoin,Binance,1191.0,1012.0,47.4,1,0.09,0.04,0.01,0,,,
,,BSC,Swap,1310.6362218139896,357.21629121579065,-143.19132140079338,7.321434375601946,ERC20,Binance,1102.4539909872929,1013.9303606624503,245.0937808603739,1,0.27092481753988107,-0.11106842126400086,0.33659344818347625,1,17.0,2.0,4948.899127727556
TX016888,1704401228.0,BSC,Swap,180.0,568.0,201.53,26.74,ERC20,Kraken,1218.0,1041.0,459.9,1,0.32,0.04,0.16,0,,,
TX004368,1704911077.0,Ethereum,Transfer,9.0,375.0,1527.78,9.16,Native,Kraken,1243.0,1027.0,253.3,0,0.26,0.03,0.0,1,,,
TX018762,1703500671.0,Ethereum,Mint,198.0,1226.0,5193.76,2.21,Native,OpenSea,1241.0,972.0,263.8,0,0.3,0.02,0.18,0,,,
TX014284,1703458398.0,Polygon,Transfer,484.0,111.0,391.67,2.14,Stablecoin,BridgeX,1170.0,985.0,172.0,0,0.08,-0.03,0.03,0,,,
TX017495,1702845929.0,BSC,Bridge,114.0,476.0,571.48,7.7,Meme,Kraken,1191.0,964.0,141.1,0,0.12,-0.02,0.01,0,,,
TX019651,1701506164.0,Polygon,Burn,114.0,72.0,534.94,9.48,Native,Binance,1213.0,1037.0,110.6,0,0.09,-0.0,0.06,0,,,
TX000707,1700707689.0,Ethereum,Transfer,476.0,604.0,526.2,3.58,Meme,OpenSea,1205.0,986.0,145.9,1,0.17,0.06,0.08,0,,,
TX010550,1701181597.0,BSC,Mint,415.0,837.0,255.31,16.42,Native,BridgeX,1195.0,949.0,60.0,0,0.23,-0.05,0.0,0,,,
TX002944,1702844180.0,BSC,Burn,1648.0,451.0,1893.63,22.61,ERC20,Coinbase,1221.0,1055.0,44.2,0,0.33,-0.05,0.04,0,,,
TX013024,1703460054.0,Ethereum,Burn,933.0,105.0,369.45,12.71,ERC20,BridgeX,1236.0,1001.0,168.5,0,0.24,-0.0,0.46,0,,,
TX010424,1704477375.0,Ethereum,Transfer,75.0,1111.0,690.59,15.26,Native,Coinbase,1171.0,1051.0,69.4,0,0.07,-0.02,0.0,0,,,
TX019669,1704035541.0,Solana,Mint,1751.0,739.0,395.35,9.75,Meme,Binance,1188.0,1000.0,14.2,0,0.22,0.09,0.0,0,,,
TX013937,1700911531.0,Ethereum,Transfer,513.0,619.0,965.18,8.44,Stablecoin,BridgeX,1205.0,975.0,159.9,0,0.1,0.1,0.14,0,,,
TX017435,1702328476.0,Ethereum,Mint,252.0,827.0,380.8,3.94,Meme,Kraken,1221.0,981.0,455.1,0,0.22,0.06,0.07,0,,,
TX007627,1701926252.0,Polygon,Mint,120.0,700.0,3551.87,2.68,ERC20,Binance,1195.0,1005.0,205.0,0,0.23,-0.13,0.01,0,,,
TX014484,1703162633.0,BSC,Bridge,248.0,83.0,567.18,60.49,ERC20,BridgeX,1183.0,1026.0,307.4,0,0.01,-0.05,0.0,0,,,
TX004114,1704975467.0,Solana,Mint,121.0,1053.0,440.28,,Native,Unknown DEX,1194.0,1035.0,121.8,0,0.09,-0.03,0.05,0,,,
TX010632,1701013295.0,BSC,Bridge,266.0,1727.0,42.84,3.26,ERC20,Coinbase,1234.0,1008.0,349.5,0,0.3,0.0,0.4,0,,,
TX000262,1702100021.0,Ethereum,Burn,144.0,439.0,542.01,4.71,Native,BridgeX,1165.0,996.0,130.1,1,0.22,0.0,0.19,0,,,
TX011367,1701083088.0,Polygon,Transfer,1823.0,772.0,10482.9,13.64,Native,,1149.0,1007.0,825.0,1,0.31,0.02,0.11,1,,,
TX018455,1704725805.0,Polygon,Burn,288.0,140.0,32.87,1.44,Stablecoin,Binance,1152.0,1025.0,445.0,0,0.11,0.03,0.0,0,,,
TX005582,1700812744.0,BSC,Swap,1247.0,42.0,221.57,4.49,ERC20,Kraken,1215.0,992.0,290.9,1,0.13,0.09,0.18,0,,,
TX007384,1700507553.0,Ethereum,Transfer,1967.0,84.0,216.64,4.49,Native,Unknown Wallet,1169.0,1043.0,58.1,0,0.1,0.03,0.0,0,,,
,,Solana,Mint,208.9922294968931,114.47990594203412,-24.355137056529593,-1.5740306445467505,Stablecoin,OpenSea,1130.9040385989592,980.6581707814443,435.00676676126994,0,0.2405067199805987,-0.025563301403536322,0.2177279135963414,1,13.0,6.0,3754.8447553029314
TX002792,1701500948.0,Ethereum,Burn,444.0,340.0,143.98,4.46,Meme,BridgeX,1223.0,966.0,190.6,1,0.12,-0.02,0.0,0,,,
TX013369,1703233116.0,Ethereum,Swap,380.0,657.0,640.61,10.4,ERC20,Coinbase,1239.0,1004.0,214.6,0,0.19,-0.02,0.32,0,,,
TX010512,1702567375.0,Ethereum,Transfer,468.0,744.0,662.05,3.24,Meme,Binance,1228.0,1059.0,47.2,0,0.18,0.05,0.27,0,,,
TX010628,1702039436.0,Ethereum,Bridge,674.0,332.0,45.77,4.14,Meme,Coinbase,1181.0,977.0,232.6,0,0.15,0.01,0.03,0,,,
TX011029,1700755724.0,Ethereum,Mint,58.0,114.0,218.08,4.13,Stablecoin,Kraken,1231.0,1038.0,57.0,0,0.05,-0.06,0.09,0,,,
TX016890,1703919668.0,Ethereum,Bridge,656.0,746.0,1222.05,8.12,Stablecoin,Binance,1237.0,957.0,298.6,0,0.27,0.01,0.46,0,,,
TX006986,1700783258.0,Polygon,Swap,101.0,606.0,938.09,4.72,Native,Coinbase,1221.0,961.0,1185.6,0,0.11,0.04,0.09,0,,,
TX000830,1701966197.0,BSC,Burn,203.0,112.0,914.2,10.52,Stablecoin,Coinbase,1189.0,951.0,277.5,0,0.03,0.07,0.13,0,,,
TX015840,1700135513.0,Ethereum,Mint,414.0,532.0,168.49,6.05,Native,Binance,1144.0,1080.0,87.7,0,0.16,-0.03,0.18,0,,,
TX009304,1704952323.0,Ethereum,Mint,309.0,605.0,277.06,7.85,Native,OpenSea,1245.0,991.0,211.6,0,0.26,0.08,0.17,0,,,
TX011742,1704701713.0,Polygon,Swap,725.0,798.0,426.89,3.04,ERC20,Binance,1199.0,966.0,34.5,1,0.11,0.08,0.0,0,,,
TX006601,1701212980.0,Polygon,Swap,209.0,363.0,390.62,8.33,Stablecoin,Coinbase,1178.0,942.0,179.0,0,0.17,0.02,0.22,0,,,
TX004159,1701806210.0,BSC,Mint,99.0,38.0,573.94,1.45,Native,BridgeX,1172.0,1006.0,278.7,0,0.21,-0.02,0.15,0,,,
TX004490,1702269798.0,Ethereum,Transfer,830.0,232.0,607.55,9.41,Meme,Unknown Wallet,1164.0,1013.0,51.1,0,0.2,0.05,0.09,0,,,
TX002817,1704479825.0,Solana,Burn,1547.0,125.0,80.74,9.16,ERC20,Binance,1205.0,965.0,61.1,0,0.11,0.07,0.0,0,,,
TX017288,1700144015.0,Ethereum,Bridge,46.0,734.0,1279.36,14.04,Stablecoin,Binance,1213.0,952.0,47.6,0,0.17,0.05,0.0,0,,,
TX017753,1703992910.0,Polygon,Mint,296.0,999.0,719.74,5.54,ERC20,Coinbase,1216.0,1011.0,115.3,0,0.03,0.01,0.04,0,,,
TX006071,1703455673.0,Ethereum,Swap,636.0,260.0,305.16,5.22,Meme,Kraken,1237.0,1004.0,97.7,0,0.21,0.06,0.15,0,,,
TX009583,1704805865.0,Solana,Transfer,2106.0,90.0,83.76,3.26,Stablecoin,Binance,1226.0,973.0,89.9,0,0.04,-0.01,0.02,0,,,
