blockchain,transaction_type,sender_wallet_age_days,receiver_wallet_age_days,transaction_amount_usd,gas_fee_usd,token_type,platform,num_prev_transactions_sender,num_prev_transactions_receiver,avg_txn_interval_sender_min,is_cross_chain,failed_txn_ratio_sender,velocity_score,anomaly_score,is_scam,hour,day_of_week,time_gap
BSC,Transfer,0.031034969417395253,0.0466234069517229,0.136576181690139,0.11694894975162273,ERC20,Unknown DEX,0.24419366278372523,0.16052587221105663,0.11590141884559818,1,0.30797358525914753,0.19875730625571317,0.043247436651438174,1,5,6,0.03711682275963247
Ethereum,Swap,-0.0039030437246444227,0.05866028037260046,-0.019374725442510447,0.040952957576754705,Stablecoin,Kraken,0.2385255878117476,0.1177671818444338,0.06023086445422669,0,0.17826008597888876,0.023460770591237023,0.02762262746897947,1,0,6,0.030612011024414916
Polygon,Burn,0.028804571539071205,-0.0031805710283396016,0.0451124545709996,-0.016898047848749292,ERC20,Coinbase,0.443368266655084,0.3926844883329375,0.10198588694113578,0,0.20785472108167985,0.13480005959022057,0.4994742183058492,1,7,2,0.11709498740134892
Ethereum,Burn,0.1529502929614891,0.10750580796755138,0.07779868782231285,0.013935141063445913,Native,Coinbase,0.0813477556026499,0.25065498098885236,0.10339061553725828,1,0.6659064722770018,0.07601298659501346,0.8550161712076673,1,5,3,0.1429356320140019
Solana,Transfer,0.17501219661231984,0.09676176826891078,0.006596984653088956,0.0013826984170051335,Meme,Binance,0.5290029525663984,0.11548918962042026,0.21356093433732776,1,0.24128772051985575,0.03716426028882963,0.25726222461114023,1,13,3,0.04279035290138757
Polygon,Transfer,0.3344943745598173,0.08635838987497726,-0.028425156601604412,-0.025448494453302932,ERC20,Unknown DEX,0.07666725434491256,0.26741266541899444,0.22787400358675608,0,0.5327793181663669,0.27217315791324315,0.30639997770064936,1,0,4,0.03751266477675877
Solana,Swap,0.3182212272429066,0.4736143326420185,0.17556020358439559,0.035019704865847434,Meme,Unknown Wallet,0.5019183734876153,0.40457105769830737,0.08135434634793406,1,0.6641765938450884,0.29012010254703596,0.6355726469064483,1,23,1,0.20075458144680497
Ethereum,Mint,-0.036187781449832396,0.4959903154491275,0.012854284709857448,-0.028944822521067747,Stablecoin,Coinbase,0.29242091613050575,0.32150540396079164,0.07958318339955246,1,0.21292910210881505,0.028488397010433153,0.29073521023992144,1,2,4,0.0469859310085578
Polygon,Swap,-0.0002661406593958233,0.20379241576983212,-0.022493756006302927,-0.047299462246908675,Meme,Binance,0.1685564961478576,0.6561773008975939,0.13500997637727236,1,0.4703992148589293,0.2241513288155142,0.49701880027423373,1,10,4,0.103443997042919
BSC,Bridge,0.004884461603851962,-0.023835921870848632,0.15201051051508982,-0.009916970385940124,Meme,Unknown DEX,-0.09352269886965292,0.40979629339003143,0.053353315572543206,1,0.26580449911715504,0.11120937503141648,0.24435492316137453,1,16,0,0.35379698280623584
Ethereum,Burn,-0.002077008593185303,0.04018917697788811,0.07251445575109786,0.09041905660945539,Stablecoin,Unknown DEX,0.6387099876091334,0.42183291980958537,0.07148657387217952,1,0.5001286513078664,-0.06461645341721611,0.0388170472317059,1,18,2,0.013915698970788329
Ethereum,Bridge,-0.00881549508484073,-0.08310098971880642,0.6302317751808281,0.03567902525687786,Meme,Binance,0.13463195301109881,0.1749103549826691,0.2080338910355351,1,0.45221434184564113,0.22508188977798443,0.08844461986617233,1,12,5,0.10999850932538868
Polygon,Bridge,0.11612559002976901,0.440930010373265,0.015179611824249144,0.0513828423643674,Meme,Binance,0.310149986167246,0.16530226634876888,0.028597123535122282,1,0.3394193684828152,0.41928031275921357,0.20901450602016314,1,7,5,0.030661529746483722
Polygon,Bridge,-0.01851323445625476,0.08297871500596102,0.0055375700674965365,0.00854033922749451,Native,OpenSea,0.2617946682863862,0.5034555172733176,0.18292790088244032,0,0.8726615246459626,0.20448925055980172,0.20869129593195582,1,11,4,0.14979823859917535
Ethereum,Burn,0.419996118628512,0.025975386013752072,0.043167240477172256,-0.02619876300042455,ERC20,Coinbase,0.24425075274118088,0.37191626860923166,0.0981574087076586,0,0.4549991935459159,0.3452315170788786,0.3316235318232045,1,22,0,-0.009661925058844625
BSC,Mint,0.017218799009308144,0.06291117348885508,0.00952327026578529,0.019674296835608267,ERC20,Unknown,0.22311053119776045,0.38458370900450356,0.07903379941944097,1,0.53208101198872,0.19250426372946527,0.747152981566486,1,4,2,0.0345106651230824
Ethereum,Bridge,0.011553740403123415,0.37089685932005023,-0.015317654925462304,0.10381497577116817,ERC20,Kraken,0.1364505895071132,0.28222853834537237,0.07830689096799993,1,0.7626778281126497,0.276852084305439,0.09101430620083902,1,8,3,-0.003251993093527833
Solana,Transfer,0.11176581916973558,0.1906252067337988,-0.0072094636353001555,0.07123140047207267,ERC20,Unknown Wallet,0.29142669857757353,0.7176098008914324,0.04279809783383846,1,0.2802180743952982,-0.10014046928201692,0.4211328733431846,1,23,3,0.0728087858276421
Polygon,Transfer,-0.02459930083031225,0.010198734201449303,0.016924832902059955,0.12646175723714037,ERC20,Coinbase,0.3664769691574049,0.13038058985308654,0.053056844509560386,1,0.4074732610231787,0.3543229385263821,0.34412024009220316,1,7,5,0.26093114867365824
Ethereum,Mint,-0.022227490219079177,0.18120990689581032,0.006039379301379509,-0.00386604021200726,Stablecoin,Binance,0.529251740660956,0.4198014123052711,0.2383343349386661,0,0.286496441829957,0.3315028279346818,0.05217504156904781,1,4,0,0.1424386265882122
BSC,Bridge,0.00034872391800987775,0.2520505297998152,-0.01727996080183771,0.005550622468554603,Native,Unknown DEX,0.2761180725281478,0.6962342102468458,0.241780553332526,0,0.408458348804872,0.24613236979316824,0.081297554824315,1,1,4,0.049421707568041394
Polygon,Transfer,-0.012921960577986988,0.10541120267576126,0.0017756814218436341,0.0514158060617185,Meme,OpenSea,-0.04908361032557035,0.5096625787642224,0.07731946479700189,1,0.5436811249285773,0.049843991578445684,0.07910012502975491,1,20,3,0.01883825207446898
Polygon,Burn,0.02832774184062785,-0.00013329661953753735,0.012610879050861938,0.11340750108128056,Native,OpenSea,0.38597652604133437,0.15242249663036017,0.05379182303059277,1,0.3547761024388949,0.2536100209928455,0.28104007128113856,1,15,3,0.01816577612164462
BSC,Transfer,-0.02035381884076793,0.27846866482926774,0.1279604329013301,-0.023854806548661116,ERC20,Unknown,0.2665564770322775,0.44017864531474343,0.07176562336670153,1,0.409827823049089,0.199965144948354,0.017685974017516752,1,10,2,0.19699678086078823
BSC,Transfer,0.10746065940413897,0.085968093448936,-0.0068655740632515005,0.045489199557733756,Meme,BridgeX,0.40694467756702546,0.3354972864581305,0.08581152842231697,0,0.819046276199187,0.3643817619915281,0.13625241168076085,1,9,6,0.07250684073049962
Polygon,Transfer,0.027316919246957068,0.1986187796378415,0.01768561132432789,0.02384861397790014,Stablecoin,Binance,0.2522147376570557,0.2747091242107298,0.06149699760229547,0,0.1604916932050638,0.09566749522558934,0.9019473228388235,1,22,5,0.22143182133757192
Ethereum,Transfer,0.03725396823215766,0.3431461767258713,0.08239960645547084,0.022622272301881678,Stablecoin,Binance,0.14840021140163934,0.6452083713861291,0.10285729195178311,0,0.26054401869757654,0.19191565583492115,0.28605238448272147,1,15,6,0.0022597270385373083
Ethereum,Transfer,0.03349399938127505,0.34812447961489495,0.016450689415478267,-0.027624001786687204,Stablecoin,Binance,0.4699940363282398,0.14602515337973504,0.08539351380135439,1,0.507170168982227,0.33798219198200175,0.6157314205877802,1,7,2,0.19062426369354016
Ethereum,Burn,-0.008563444380108573,0.10087569511783542,0.012009281577864635,0.03229486172723334,Native,OpenSea,0.061631768956924016,0.43325425363720393,0.04846055699332672,1,0.4219741809110229,0.21583042208086622,0.0504453883460861,1,12,3,0.04470978189422489
Solana,Mint,0.18821574749305164,0.24192674424993116,0.019760787042019744,-0.01782546758199928,Stablecoin,Coinbase,0.7890941834815237,0.7903938017247301,0.0712074442812689,0,0.41965233622554915,0.454800532907602,0.2953232200559307,1,15,4,0.43698932828296055
Ethereum,Swap,-0.01473711029634299,-0.008524817558660934,0.018924663674433018,0.027202406992079018,Meme,Coinbase,0.45357708320712053,0.29793920846766797,0.04451613152948126,0,0.9149996841435897,0.23109170369126655,0.09493121607059471,1,20,1,0.009247692409925054
Ethereum,Transfer,-0.0021175014002683904,0.42219457460211707,0.08508769263951815,0.09268013143256325,Meme,Kraken,0.3139802319820002,0.44793410403655576,0.09502232148626175,1,0.4057817615410595,0.07986094209676411,0.2813038021903345,1,10,5,0.15835328727922324
Ethereum,Mint,-0.01615283221678268,0.08717396679349221,0.013111488518430537,0.05694417033261072,Meme,Kraken,0.28403075518250365,0.4051525985307113,0.2365402279269096,1,1.038546363924708,0.2016807035790368,0.3349946523791204,1,22,0,0.016371763691747282
BSC,Burn,0.005370517399733981,0.08096911785296981,0.03123976625146506,0.03578757876183506,Stablecoin,Coinbase,0.04185578090095138,0.16966405801959622,0.09869633627683663,1,1.0732550985954938,0.061672280994727935,0.6605430136379242,1,18,1,0.11920340463836035
BSC,Burn,0.14007644867940058,0.524511226113183,0.13799632199924347,-0.02061971626151761,Meme,Binance,0.23537775472313438,0.4512558911563176,0.09321826911955391,1,0.4406414819831641,0.15302440848366722,0.960514828913128,1,18,3,0.0940400508695065
Polygon,Transfer,0.0502276119856446,0.16545395263040527,0.0948137070289449,0.021917302049224034,Native,BridgeX,0.8587074105776881,0.41719151209583144,0.04686055382298107,1,0.258019972149115,0.36360679257452444,0.26782385998667263,1,7,3,0.16683234531965097
Polygon,Burn,0.028278672990217427,0.048409095059890175,0.059384102077698224,0.012291717040020134,Stablecoin,BridgeX,0.18468426378695366,0.5007549970792154,0.13356833668083065,1,0.5057424372586411,0.11121702936461858,0.08631844692160377,1,0,2,0.002580036279242918
BSC,Transfer,0.021583818654564862,0.1953479377335761,0.06540890011793517,0.1611823528000194,Stablecoin,Binance,0.5764579662910966,0.09173661506602343,0.11714671542150254,1,0.17373692727866516,0.3372187066618304,0.34207929622689226,1,17,4,0.15185788166674646
Ethereum,Swap,-0.030566651998894887,0.2869923787658918,-0.0026263659933261144,0.04070028546779869,Stablecoin,Unknown DEX,0.060865862613712296,0.4803522355343306,0.11731545638842236,1,0.27704898271264766,0.3125193829393973,0.046383404310081436,1,22,1,0.050012545936205355
BSC,Burn,-0.01324766479565945,0.3031182324086442,0.042083096355542096,0.021886146645578912,Meme,Binance,0.46940781101496665,0.5434499544934639,0.021007210879335016,1,0.5273546201866286,0.3021759526502372,0.13986768503147548,1,7,5,0.0898449336987613
BSC,Swap,-0.018993383469522316,0.07088159043600725,0.01061769882689547,0.050898013635444696,ERC20,Kraken,0.3240579649636741,0.3492843206892545,0.2084944821541846,0,0.3762353765249082,0.3585491642528553,0.06823125346481466,1,9,3,0.008684018674911254
Polygon,Mint,0.17382801455807573,-0.009391976452061163,0.027686703995672832,0.050793956463796,Native,Kraken,0.5704769854628103,0.4098518749171892,0.02098980382475084,0,0.1416451001754223,0.10363560685866374,0.6247942433094984,1,14,0,-0.020753811627298592
Solana,Swap,-0.011872132650270033,0.152847327232005,0.06704186762077398,0.12292386253246465,ERC20,Unknown DEX,0.25777764307972123,0.6182528755769292,0.08826486394307766,0,0.08393222994286925,0.1924579142177696,0.7154259662971487,1,0,5,0.06752638699601526
Solana,Burn,-0.013779788434873427,0.012078092887504277,0.027400503812604754,-0.02290456927333081,Native,Unknown,-0.08806290849171206,0.43615037386895533,0.058620824814857926,1,0.13832133093689788,0.09109292354070272,0.13652239838788535,1,17,5,0.08086320008857974
Solana,Mint,-0.01231649749463697,0.05805053126633525,-0.007343895263480275,0.07239029495053584,Meme,Coinbase,0.15901722150820696,0.8399212895185599,0.23433761658024366,1,0.4360005663627418,0.07709053818565006,0.5883685058637836,1,21,0,0.12997576136081934
Ethereum,Transfer,0.04197324373187496,0.28012448142976537,0.013955602631066745,0.06301400514081135,Meme,Unknown DEX,0.16846670052828105,0.530775272537148,0.08096015761373246,0,0.3748821338465601,-0.03794292874678584,0.36014034163911607,1,20,6,0.0640342041133336
Ethereum,Bridge,0.06360621648714895,0.06511201113413356,-0.000984105698299341,0.23222215384498318,Native,OpenSea,0.5491712802264695,0.19088833876563466,0.08648165785414208,1,0.3294111842628798,0.20624598205505829,0.02792172697642812,1,0,5,-0.017213419000073706
Solana,Burn,0.014581940978695751,0.09316878100754186,0.07694193610844817,0.1730014922086318,Meme,Unknown,0.2667665985450183,0.2139665468228904,0.191303267249111,1,0.3287373926655255,0.048772450050737826,0.31628396792491315,1,0,4,0.19481639356360894
BSC,Burn,0.047182554756446754,0.10684476800058654,0.021052844791566182,0.1422658384151156,Native,OpenSea,0.16393278325012978,0.25278482695975213,0.034686036728510644,0,0.3427175611543416,-0.03854085171162425,0.05079821581719921,1,4,0,0.0051369590469250576
Ethereum,Transfer,0.27467387966786294,0.1316728679481586,0.19397122984919007,0.022864843720283242,Stablecoin,OpenSea,0.30063811418848674,0.4864962213747203,0.07376696653533092,1,0.27205121892080963,0.08450236609429382,0.05937631559565341,1,20,6,0.0037636009435265093
Solana,Mint,-0.012489210515986431,0.14152684454664824,0.035688996557985686,0.03472835787570232,Meme,Binance,0.26096318442898464,0.08219752493540822,0.056325533900712835,0,0.5540294954150697,0.38712169488164305,0.42578961107722024,1,3,5,0.0841110892368012
Solana,Swap,0.014402130128129046,0.1671822447474544,0.05420266162602581,0.016569344895963206,Native,Binance,-0.03025157549312618,0.22729735509797322,0.1272172748182062,1,0.7291590509964454,0.03465474717314454,0.34756557440468105,1,13,5,0.01303557548420459
Solana,Bridge,0.14054490233834177,0.2948004294081469,0.10003904878962555,0.05348898306233957,Native,BridgeX,0.35162214245535495,0.633109243181336,0.10181472015948397,1,0.7429868307540393,0.18759295670735013,1.0357639076409748,1,1,0,0.034405105874863104
BSC,Swap,0.028563614212182294,0.03829981059643457,-0.014211745537463814,0.10280635506989355,Native,Binance,0.22732308892033312,0.432253467415095,0.23793155453630388,0,0.3831149543738455,0.20921078425082,0.2871688688239326,1,13,5,0.019955438108398345
BSC,Bridge,-0.01806643659947266,0.08572775361309079,0.10145175480249399,0.05940662666578867,Meme,BridgeX,0.6175176143337157,0.3039485165979234,0.18039141686078491,1,0.49773706973178133,0.09190352887117165,0.7751336844696933,1,6,5,0.31619709042942756
BSC,Mint,0.08933695986911461,0.5090563491998366,0.021059721474164274,0.044954256934582895,ERC20,BridgeX,0.07941267829820658,0.40731450605936004,0.11818204166950426,1,0.18193815978828387,0.5066358535774437,0.01517453679654596,1,10,3,0.21049378744825636
BSC,Burn,0.15301846809056296,0.020825968212642848,0.23672258416960143,0.01383454912532164,Native,Binance,0.061262456153022116,0.8113957731633488,0.07578822630332838,1,0.7440378463071341,0.2640035080616461,0.4701843186204634,1,17,5,0.5285572545494114
Polygon,Bridge,0.0047128276930435975,0.0007303587515460896,0.1350791270354119,0.07172664535016439,Stablecoin,Binance,0.24145308665979506,0.34979489654275975,0.09091540477580257,1,0.37044017398162965,0.18617319313893135,0.2962665444284851,1,4,2,0.09045600411096028
Solana,Swap,0.11939350406973369,-0.0004897558567145827,0.036673272684474206,0.014902165639128714,ERC20,Coinbase,0.4465515717301305,0.24614929587843423,0.07669881685185169,0,0.16675572178383585,0.19999221023852942,0.23978519635010126,1,8,6,0.04141584393433002
Ethereum,Swap,0.0032890237421508268,0.28469731575544843,0.09037088329616724,0.09236396563361682,Stablecoin,Kraken,0.41602525937007045,0.7083571560485856,0.19691824458996599,0,0.48167918644510543,-0.12112648758386724,0.07861459848139346,1,8,3,0.034963356439930225
BSC,Mint,0.043931552573811955,0.02825953216982579,0.006222009792878959,0.052068051112341175,Stablecoin,Coinbase,0.3216134794695586,0.4925642990439125,0.11719137919419648,0,0.5325734673668076,0.12295691092629013,0.23022143114699928,1,13,3,0.14083016913090482
Ethereum,Burn,0.20761618404305615,0.33729732886242825,0.12851911241433675,0.033195781957166215,Stablecoin,Unknown DEX,0.2448940557209628,0.19101063081252517,0.08850286825403587,0,0.4807572316377893,0.4979717865654572,0.18006379788861124,1,15,2,-0.034137939692575836
BSC,Swap,-0.011398493889401038,-0.01202231271265844,0.016651755524236648,0.08976902096864597,Native,Binance,0.23348532882907488,0.1248773063189775,0.06713190606296891,0,0.11866004235443751,-0.0505141306685476,0.18988990476644096,1,20,3,0.07817539245409734
Polygon,Burn,0.09398412385641615,0.08366274344140556,0.003428033027842248,0.08565347726789775,Stablecoin,Unknown Wallet,0.3059395031689707,0.2643448871976414,0.07857139554358719,1,0.8367855037853957,0.018406589807150764,0.45897060630562786,1,15,1,0.06990810869244173
Polygon,Transfer,0.02601163461866198,0.02736128949243307,0.1402593607081495,0.4052660203288293,Meme,Unknown,0.5582344946769037,0.5159412823799214,0.06602324346880943,0,0.416617084979348,0.18347236284196722,0.4336383096414941,1,4,2,0.2465140410913252
BSC,Transfer,0.1942661660597144,0.3436848052945287,0.022293234056866847,0.17367364906118543,Stablecoin,OpenSea,0.3307340878261147,0.36299058157440306,0.10890630637705054,0,0.4530024902392614,0.2113592910486852,0.0553895291972771,1,8,0,-0.05000086275139798
